verified_at,game_id,sport,winner,pick_outcome,pick_hit,moneyline_hit,realized_return,fair_prob_winner,model,ah_hit,ou_hit,scoreline_hit,total_goals_hit,edge,confidence,model_winprob,devig_winprob,expected_total,actual_total,phase
2026-06-15T03:17:35+08:00,5db8a5b07bca4c3b2486bb503bbe96fc,MLB,away,,,,,0.4115,market_implied_v1,,,,,,,,,,,
2026-06-15T04:46:09+08:00,8e4e850c402fa1c197ef6422f0b81838,MLB,home,,,,,0.5226,market_implied_v1,,,,,,,,,,,
2026-06-15T04:46:09+08:00,5026a58f0ac7fd00f17b808c1c1f7c1f,MLB,home,,,,,0.4611,market_implied_v1,,,,,,,,,,,
2026-06-15T06:05:07+08:00,4d2b32d9bdd8f67c8d10a76487b12397,MLB,home,,,,,0.3613,market_implied_v1,,,,,,,,,,,
2026-06-15T06:05:08+08:00,c789c21a240b108461c065a6f2dc3436,MLB,home,,,,,0.5106,market_implied_v1,,,,,,,,,,,
2026-06-16T08:33:12+08:00,64b91c5f2db61c7358a4f05459e83c52,FIFA,draw,away,False,False,-1.0,0.2233,market_implied_v1,,,,,,,,,,,
2026-06-16T10:06:08+08:00,6dc67dec6b0c9f4a591f05d0f5912d23,MLB,home,home,True,True,0.6599999999999999,0.5926,market_implied_v1,,,,,,,,,,,
2026-06-16T12:45:47+08:00,9c2784938a40031b48e75139185e2491,MLB,home,home,True,True,0.47,0.6603,market_implied_v1,,,,,,,,,,,
2026-06-16T12:45:48+08:00,35d9a6cb5c11499a313b0205abf1c1f9,MLB,away,home,False,False,-1.0,0.4165,market_implied_v1,,,,,,,,,,,
2026-06-16T12:45:48+08:00,d5349ae869ae1b1c6c38042687a3e57b,MLB,away,home,False,False,-1.0,0.479,market_implied_v1,,,,,,,,,,,
2026-06-16T12:45:49+08:00,ec51b9c44ad5e34552f3ab53f7262813,FIFA,draw,home,False,False,-1.0,0.2723,market_implied_v1,,,,,,,,,,,
2026-06-16T15:42:31+08:00,da125dfa2d7fe97d5836e50dd394db59,MLB,home,home,True,True,0.5700000000000001,0.6199,market_implied_v1,,,,,,,,,,,
2026-06-17T06:33:38+08:00,73a4fcd14cc9766b9b9bfd50b8ca153a,FIFA,home,home,True,True,0.49,0.6502,market_implied_v1,,,,,,,,,,,
2026-06-17T08:01:59+08:00,4d4f2b9b78182b557d4fbf8dcf4f4af2,FIFA,away,away,True,True,0.21999999999999997,0.7888,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:10+08:00,551b1013a4b92bb548f0b5287c15e7d1,MLB,home,home,True,True,0.5700000000000001,0.6222,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:11+08:00,91665afcba863c3c8347ba9ee65ac461,MLB,away,away,True,True,0.8799999999999999,0.5229,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:11+08:00,178ad6f5e07c35eef67b4cff64ff1934,MLB,home,home,True,True,0.75,0.5591,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:12+08:00,1d3a926b2cba97faaba2228f43c77a47,MLB,home,home,True,True,0.71,0.573,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:12+08:00,f6f0e79036206f0a0ae7e8137c0c3096,MLB,home,away,False,False,-1.0,0.4788,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:13+08:00,4b5e3f0ce8c202d711c9b02b84f156cc,MLB,home,home,True,True,0.6799999999999999,0.5818,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:14+08:00,700e234cf77980647981a64907dc17d8,MLB,home,away,False,False,-1.0,0.5143,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:14+08:00,97d8a9970a14f21507c77048dcce6ae9,MLB,away,home,False,False,-1.0,0.3493,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:15+08:00,d8a43d2497f4e529a3af914e3256955b,MLB,away,home,False,False,-1.0,0.461,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:15+08:00,c589af707f2d0a0ec73c57d02ee85011,MLB,home,home,True,True,0.6100000000000001,0.6067,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:16+08:00,bf1da9404ddeda8aaf631bfc0426ef34,MLB,away,away,True,True,0.96,0.496,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:16+08:00,c20c72e3d1d902b5d151e9b6e7f76995,MLB,away,home,False,False,-1.0,0.443,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:17+08:00,cb86c66f7562172318c2e8f571b8fea9,MLB,home,home,True,True,0.6799999999999999,0.5813,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:17+08:00,2cbf10f5567633534b11bbd7b8a051cc,MLB,home,home,True,True,0.7,0.5738,market_implied_v1,,,,,,,,,,,
2026-06-17T13:36:18+08:00,f31b2ee9e1cc6f7e641467f8237eaa21,FIFA,home,home,True,True,0.45999999999999996,0.6631,market_implied_v1,,,,,,,,,,,
2026-06-17T17:19:01+08:00,25161cf6cf0cd9be17ae2e7e224a1f45,FIFA,home,home,True,True,0.3799999999999999,0.6997,market_implied_v1,,,,,,,,,,,
2026-06-18T03:15:20+08:00,93a412d9ba2735490b741d924fea7ef1,MLB,away,away,True,True,0.78,0.5487,market_implied_v1,,,,,,,,,,,
2026-06-18T03:15:21+08:00,6cc871c121a1869b4612d3fb22fa9d55,FIFA,draw,home,False,False,-1.0,0.1724,market_implied_v1,,,,,,,,,,,
2026-06-18T05:24:16+08:00,bab3782d628eabfc050d79656a55fa50,MLB,away,home,False,False,-1.0,0.4544,market_implied_v1,,,,,,,,,,,
2026-06-18T05:24:16+08:00,70301ecea46dd4e6c12d0c003013a4ee,MLB,away,home,False,False,-1.0,0.4765,market_implied_v1,,,,,,,,,,,
2026-06-18T05:24:17+08:00,db80e9d6153bc82e7a3612d55fd10ece,MLB,home,away,False,False,-1.0,0.4961,market_implied_v1,,,,,,,,,,,
2026-06-18T05:24:17+08:00,c8afc0ecd9f70b910f3f7ffbf71274e4,MLB,away,away,True,True,1.02,0.4748,market_implied_v1,,,,,,,,,,,
2026-06-18T06:32:22+08:00,a75cee44d2cbdcedb356612df99cd692,MLB,home,home,True,True,0.5800000000000001,0.6225,market_implied_v1,False,,0,,-0.0164,0.635,0.635,0.6225,7.5,9,
2026-06-18T06:32:23+08:00,44a3fa0a32ffae8dd220f1a4d54ae239,MLB,home,home,True,True,0.6100000000000001,0.6074,market_implied_v1,True,,0,,-0.0221,0.6321,0.6321,0.6074,9.0,9,
2026-06-18T06:32:23+08:00,689096c8cd7e2753b9fec95321943c5d,FIFA,home,home,True,True,0.74,0.5565,market_implied_v1,True,,0,False,-0.0317,0.5492,0.5492,0.5565,2.5,6,
2026-06-18T11:45:41+08:00,1b3b5ac473b471165355ca855853dbb2,MLB,away,home,False,False,-1.0,0.4787,market_implied_v1,False,,0,,-0.0147,0.6219,0.6219,0.5213,10.0,3,pre_match_40m
2026-06-18T11:45:42+08:00,9cfb18a4e0091ae6c9ccb03c48deb277,MLB,home,home,True,True,0.6200000000000001,0.6118,market_implied_v1,True,,0,,-0.009,0.6328,0.6328,0.6118,8.5,15,pre_match_40m
2026-06-18T11:45:42+08:00,a834545628bda1d53eb52e89728b336f,MLB,away,home,False,False,-1.0,0.4439,market_implied_v1,False,,0,,-0.0213,0.6301,0.6301,0.5561,9.0,12,pre_match_40m
2026-06-18T11:45:43+08:00,4d8279537f3ea7c4d1d53160da26d2c6,MLB,home,home,True,True,0.8300000000000001,0.535,market_implied_v1,True,,0,,-0.021,0.6381,0.6381,0.535,7.5,13,pre_match_40m
2026-06-18T11:45:44+08:00,3c667b5e84c7e18c7697c0f83852679a,MLB,home,home,True,True,0.56,0.6246,market_implied_v1,True,,0,,-0.0256,0.6211,0.6211,0.6246,10.0,14,
2026-06-18T11:45:44+08:00,87afdb85c977b451e1c00f5e3e632601,FIFA,home,home,True,True,1.44,0.4049,market_implied_v1,True,,1,False,-0.012,0.4178,0.4178,0.4049,2.0,1,pre_match_40m
2026-06-18T12:23:09+08:00,1d049adfd45ba69776089a9846e60034,MLB,away,home,False,False,-1.0,0.4315,market_implied_v1,False,,0,,-0.0279,0.6418,0.6418,0.5685,7.5,8,
2026-06-18T12:23:10+08:00,22083e7a8e5362c711bc05c1e1319a1f,FIFA,away,away,True,True,0.3799999999999999,0.6979,market_implied_v1,True,,0,False,-0.0369,0.7291,0.7291,0.6979,2.5,4,
2026-06-18T13:05:07+08:00,ab9ae62c321b17a5d765118cc9bb3fbf,MLB,away,away,True,True,0.8799999999999999,0.5227,market_implied_v1,True,,0,,-0.0172,0.6176,0.6176,0.5227,10.0,16,
2026-06-19T02:36:47+08:00,66ebb9e3f949caded535d97ce686ca09,FIFA,draw,home,False,False,-1.0,0.2635,market_implied_v1,False,,1,True,-0.0227,0.4878,0.4878,0.5199,2.5,2,early_12h
2026-06-19T05:10:21+08:00,10b797abe19952451af8a428ab530deb,MLB,away,away,True,True,1.08,0.4743,market_implied_v1,False,,1,,-0.0135,0.6345,0.6345,0.4743,8.5,7,early_12h
2026-06-19T05:10:21+08:00,289bc2e9f5adad8ae4d9a75a7c5461ad,FIFA,home,home,True,True,0.5700000000000001,0.6135,market_implied_v1,True,,0,False,-0.0368,0.6161,0.6161,0.6135,2.5,5,pre_match_40m
2026-06-19T06:33:47+08:00,872e319f5c105d18457014bc855cdc85,MLB,away,home,False,False,-1.0,0.4376,market_implied_v1,False,,0,,-0.0215,0.6426,0.6426,0.5624,7.5,6,early_12h
2026-06-19T06:33:47+08:00,bb47b41c0a375d2df45331898a1e7ec1,MLB,away,away,True,True,0.8500000000000001,0.5322,market_implied_v1,True,,0,,-0.0155,0.6368,0.6368,0.5322,8.0,12,early_12h
2026-06-19T06:33:48+08:00,cad6df1fc1aadca9fdbb359d7d43e40f,MLB,home,home,True,True,0.69,0.581,market_implied_v1,True,,0,,-0.0181,0.6404,0.6404,0.581,8.0,3,early_12h
2026-06-19T09:51:19+08:00,adfa73cc70f5a62d6d0bb903eaa0f24b,MLB,away,home,False,False,-1.0,0.3973,market_implied_v1,False,,0,,-0.0055,0.6306,0.6306,0.6027,10.0,6,pre_match_40m
2026-06-19T09:51:19+08:00,fa9502285b257b03e62968d50d9229fc,FIFA,home,home,True,True,0.31000000000000005,0.7414,market_implied_v1,True,,0,False,-0.0288,0.7304,0.7304,0.7414,2.5,6,early_12h
2026-06-19T12:05:24+08:00,7fc018ccf3790baea15d29b581f9d0ce,MLB,away,home,False,False,-1.0,0.4697,market_implied_v1,False,,0,,-0.0296,0.619,0.619,0.5303,10.0,10,pre_match_40m
